11747250	155,155,16918,18730
1074750	11080,11080,27092,22556
7886000	4919,4919,22420
9842500	10908,10908,7868,7380,11176,11605
1911500	1073,1073,8868,16110
9244000	7868,7868
10212500	24081,24081
10401500	12189,12189
7893250	28992,28992
3549000	5184,5184
12016750	18730,18730,27371
11158000	9563,9563,21930,239
3031750	12977,12977,16110
6654750	14261,14261
12239250	21838,21838,7868
10309250	18996,18996,14942
6619500	11465,11465
6155250	18180,18180
9173750	16540,16540,16110
2316250	10948,10948
11493000	22727,22727
11874000	4220,4220
11494250	11196,11196
8163500	3252,3252,18868,28438
4259500	15019,15019
11625250	18990,18990
6099250	13244,13244
6272000	12055,12055,2803,6080
4256500	4694,4694
1724250	16176,16176
9802000	5883,5883
5440750	19862,19862
5642000	25424,25424,4949,10840,3723,11176
6234000	19875,19875,21372,17020
11535250	16463,16463
472000	25333,25333,6211
6921750	19197,19197
2148250	14294,14294
2331750	7179,7179
7306250	22359,22359
3511000	29203,29203,14020
5745000	26722,26722
5898500	374,374
8949750	16818,16818,17438
6571750	15086,15086,16540
2050000	24377,24377,26866
5220750	25240,25240
3035250	14020,14020
8529750	15138,15138
2492500	20979,20979,11124
2788750	11176,11176,26608
6126750	24977,24977,25117
3014750	18558,18558
8940500	251,251
6872750	26111,26111
9436000	4731,4731,504
9906500	23656,23656
6003750	4750,4750,7868,12285
892500	15019,15019,23516
5915250	15138,15138
11129250	23214,23214,14577
6150750	2655,2655
1909250	20516,20516,504,6326
12015250	11080,11080
1579250	4078,4078,25424
3304500	25169,25169
6751750	13737,13737
8096750	16663,16663,26485
10312750	12016,12016,5185,15934
2891500	2257,2257,8027
12008000	24274,24274
8051750	26608,26608,20297
11984750	3627,3627,25653,20207,8689,2683,25086,21110,15507,26722
8314250	11196,11196
3266750	12220,12220
1247000	25635,25635
3963750	4949,4949
1104500	21110,21110
9973000	25260,25260,23475
11121500	20297,20297
8195000	21672,21672
4963500	13240,13240
10261750	14261,14261
7657250	29445,29445,2043,1756
832250	1831,1831
5899750	12220,12220
8845250	15446,15446,22484,12394
3684750	25559,25559
7269750	19475,19475
7699500	21672,21672
8910750	24503,24503
9394500	14533,14533
9039750	2257,2257,13087,7105,11983,14580,9563,24978,3627
5751500	11679,11679
7060500	23214,23214
6412250	15159,15159
4475750	2227,2227,19113,4949,11612
1953250	15639,15639
4376250	8689,8689
154750	11196,11196
8149250	11679,11679
380000	12329,12329,5620
10054250	4667,4667,19660
11564250	1831,1831
847750	28169,28169
10521000	7868,7868
10234000	19402,19402,9111
7103000	15019,15019,11465
7190750	27791,27791
7588000	10329,10329
6874250	13483,13483,20648,12168,2683,155,26754,647,11080
4625750	1428,1428
9706000	12168,12168,18508,21865,6740
2752000	3164,3164,27906,26728
439000	25415,25415
9288000	2683,2683
11440500	14261,14261
12215000	3164,3164,6672
11949750	6571,6571,13554
4059500	8166,8166
2198750	16550,16550
980000	3228,3228
4547500	8257,8257
10492250	15449,15449,281,28752
69500	18196,18196
4087750	27791,27791
5082750	17280,17280
